subjectNumber,condition,outcome
1,1,4.7703
1,1,4.2801
1,1,6.3076
1,1,5.3751
1,1,3.199
1,1,3.4592
1,1,7.7434
1,1,2.254
1,1,8.2107
1,1,2.3335
1,1,4.2539
1,1,9.8113
1,1,6.6939
1,1,4.8851
1,1,3.2917
1,1,8.2713
1,1,4.2078
1,1,2.6534
1,1,6.4248
1,1,5.6625
1,1,5.9416
1,1,3.2383
1,1,3.9889
1,1,1.1168
1,1,0.01
1,1,1.1629
1,1,3.4932
1,1,2.749
1,1,7.8199
1,1,4.9698
1,1,2.2475
1,1,10.613
1,1,2.3454
1,1,2.5162
1,1,12.012
1,1,0.55868
1,1,4.2947
1,1,4.4875
1,1,0.73156
1,1,2.0508
2,1,3.3338
2,1,3.1034
2,1,8.3709
2,1,8.2237
2,1,6.0399
2,1,3.3691
2,1,4.0226
2,1,8.4143
2,1,9.2104
2,1,5.2182
2,1,3.6532
2,1,4.5218
2,1,4.1164
2,1,8.8136
2,1,4.5926
2,1,6.8501
2,1,8.0122
2,1,7.6377
2,1,8.5115
2,1,1.5172
2,1,5.9162
2,1,3.3939
2,1,3.2252
2,1,2.3286
2,1,11.859
2,1,8.1919
2,1,0.16401
2,1,2.9945
2,1,14.245
2,1,11.112
2,1,7.0113
2,1,4.1761
2,1,8.3386
2,1,4.0739
2,1,1.2508
2,1,3.8964
2,1,6.122
2,1,10.212
2,1,8.7809
2,1,4.2165
3,1,8.1478
3,1,8.7903
3,1,7.0099
3,1,5.2009
3,1,7.2452
3,1,6.8815
3,1,5.5305
3,1,6.733
3,1,13.493
3,1,0.31416
3,1,6.1221
3,1,4.7768
3,1,2.918
3,1,4.4204
3,1,9.9494
3,1,3.0188
3,1,4.7202
3,1,3.3841
3,1,8.6669
3,1,11.041
3,1,4.6726
3,1,11.518
3,1,8.0325
3,1,7.374
3,1,13.784
3,1,6.3027
3,1,14.245
3,1,7.7674
3,1,11.18
3,1,6.3567
3,1,3.4135
3,1,6.0528
3,1,6.3019
3,1,7.6911
3,1,7.4759
3,1,5.5935
3,1,6.4486
3,1,7.2438
3,1,6.7326
3,1,1.2573
4,1,1.1373
4,1,16.492
4,1,4.2602
4,1,1.3284
4,1,8.575
4,1,7.1858
4,1,5.6091
4,1,2.4655
4,1,1.668
4,1,3.0885
4,1,3.9481
4,1,0.064365
4,1,2.878
4,1,6.8943
4,1,2.4605
4,1,5.1557
4,1,4.223
4,1,3.9836
4,1,2.9003
4,1,6.2376
4,1,2.6728
4,1,6.7204
4,1,0.71429
4,1,6.5909
4,1,11.19
4,1,3.2845
4,1,3.2616
4,1,5.6637
4,1,1.5752
4,1,9.2562
4,1,2.4541
4,1,3.263
4,1,0.76873
4,1,7.294
4,1,9.0122
4,1,3.3491
4,1,1.5995
4,1,4.1022
4,1,0.86214
4,1,2.6976
5,1,12.615
5,1,5.4858
5,1,6.6055
5,1,2.6765
5,1,15.892
5,1,0.18392
5,1,10.326
5,1,4.2456
5,1,4.7419
5,1,2.1378
5,1,6.7895
5,1,3.7338
5,1,3.6754
5,1,4.9775
5,1,2.4161
5,1,7.2704
5,1,12.172
5,1,8.3407
5,1,12.549
5,1,12.426
5,1,11.659
5,1,5.1308
5,1,3.2657
5,1,4.0077
5,1,1.6173
5,1,5.1224
5,1,7.1338
5,1,2.2194
5,1,12.239
5,1,5.1672
5,1,4.7296
5,1,8.4915
5,1,7.8358
5,1,5.6397
5,1,9.8839
5,1,10.647
5,1,3.6276
5,1,5.4077
5,1,7.4816
5,1,10.156
6,1,9.5737
6,1,6.6575
6,1,11.083
6,1,7.4631
6,1,3.9956
6,1,2.5476
6,1,6.4151
6,1,8.9888
6,1,1.882
6,1,3.7726
6,1,1.5135
6,1,5.4296
6,1,4.6064
6,1,9.8975
6,1,7.9809
6,1,3.5015
6,1,6.1806
6,1,5.6629
6,1,3.9149
6,1,3.945
6,1,6.4784
6,1,6.2363
6,1,2.2032
6,1,8.5145
6,1,5.798
6,1,6.4415
6,1,11.112
6,1,7.5749
6,1,4.1355
6,1,2.9167
6,1,5.3289
6,1,8.2582
6,1,3.2037
6,1,13.539
6,1,10.931
6,1,6.3536
6,1,8.7279
6,1,3.4054
6,1,5.2448
6,1,2.6191
7,1,12.263
7,1,1.8764
7,1,6.9223
7,1,7.965
7,1,6.4421
7,1,1.141
7,1,8.9309
7,1,10.065
7,1,12.837
7,1,13.374
7,1,10.063
7,1,20.143
7,1,11.815
7,1,10.372
7,1,7.7311
7,1,17.788
7,1,5.6852
7,1,4.2415
7,1,2.5848
7,1,9.2205
7,1,4.8754
7,1,7.1119
7,1,5.0416
7,1,13.275
7,1,5.5666
7,1,9.8614
7,1,6.3929
7,1,13.549
7,1,3.2525
7,1,13.233
7,1,6.8457
7,1,13.482
7,1,9.5961
7,1,5.5139
7,1,10.424
7,1,16.736
7,1,15.916
7,1,6.0887
7,1,21.573
7,1,4.4685
8,1,2.5329
8,1,6.6627
8,1,6.35
8,1,2.1418
8,1,9.3701
8,1,8.611
8,1,6.9222
8,1,2.9175
8,1,4.3749
8,1,3.3263
8,1,3.6285
8,1,12.019
8,1,8.4536
8,1,8.2404
8,1,8.5973
8,1,2.9351
8,1,3.1702
8,1,5.7793
8,1,3.3474
8,1,9.6391
8,1,0.99943
8,1,13.66
8,1,0.79458
8,1,9.0952
8,1,3.884
8,1,5.8538
8,1,6.1809
8,1,7.6195
8,1,3.3971
8,1,10.706
8,1,1.4201
8,1,3.8321
8,1,6.279
8,1,2.8789
8,1,7.3101
8,1,4.1561
8,1,6.6106
8,1,8.4343
8,1,2.8679
8,1,9.7776
9,1,4.2206
9,1,1.7087
9,1,1.3134
9,1,3.2764
9,1,10.441
9,1,2.3321
9,1,3.2047
9,1,6.0331
9,1,1.9438
9,1,5.7727
9,1,7.0445
9,1,6.1007
9,1,7.9561
9,1,8.1302
9,1,7.4545
9,1,3.9986
9,1,3.264
9,1,3.7394
9,1,0.96735
9,1,4.7829
9,1,5.6039
9,1,9.6444
9,1,6.4105
9,1,7.7845
9,1,3.8842
9,1,2.1468
9,1,5.7771
9,1,4.9765
9,1,3.9077
9,1,2.3621
9,1,6.0908
9,1,1.5597
9,1,2.9258
9,1,13.946
9,1,5.1804
9,1,2.4519
9,1,2.854
9,1,6.0191
9,1,6.2297
9,1,9.4602
10,1,2.2427
10,1,18.08
10,1,3.4631
10,1,3.9031
10,1,8.98
10,1,5.426
10,1,4.8307
10,1,9.3067
10,1,3.3682
10,1,4.7888
10,1,5.8104
10,1,8.9091
10,1,7.3197
10,1,3.24
10,1,6.2617
10,1,5.9194
10,1,5.6454
10,1,5.5421
10,1,9.7023
10,1,4.2648
10,1,1.499
10,1,12.598
10,1,11.391
10,1,5.9709
10,1,2.6055
10,1,10.48
10,1,8.979
